,University,Degree,GPA,GRE Verbal,GRE Quantitive,GRE Writing,GRE Subject,Classification
Mid-level Schools,University Of Louisville, PhD ,3.703333333333333,275.22222222222223,332.55555555555554,11.833333333333334,625.0,Mid-level
Mid-level Schools,Yeshiva University, Other ,3.7,163.5,156.5,4.833333333333333,800.0,Mid-level
Mid-level Schools,Loyola University Maryland, Masters ,3.7,156.5,155.5,4.5,680.0,Mid-level
Mid-level Schools,Rutgers University, Other ,3.6999999999999997,304.0,318.0,5.0,743.3333333333334,Mid-level
Mid-level Schools,La Salle University, Other ,3.6983333333333337,228.16666666666666,248.83333333333334,4.25,692.5,Mid-level
Mid-level Schools,Michigan State University, PhD ,3.697,376.75,386.4166666666667,3.4583333333333335,761.4285714285714,Mid-level
Mid-level Schools,Kent State University, PhD ,3.69,298.0,339.22222222222223,4.166666666666667,710.0,Mid-level
Mid-level Schools,University Of Kentucky, PhD ,3.685714285714286,161.0,155.57142857142858,4.642857142857143,587.0,Mid-level
Mid-level Schools,University Of Western Ontario, Masters ,3.6833333333333336,291.25,297.0,5.0,780.0,Mid-level
Mid-level Schools,Suffolk University, PhD ,3.6825,384.25,388.75,4.625,680.0,Mid-level
Mid-level Schools,University Of Houston, PhD ,3.6769230769230767,191.0,208.69230769230768,4.653846153846154,772.5,Mid-level
Mid-level Schools,George Washington University (GWU), Other ,3.6766666666666663,303.0,319.3333333333333,5.0,785.0,Mid-level
Mid-level Schools,New York University (NYU), Masters ,3.6759999999999997,443.3333333333333,514.1666666666666,4.833333333333333,98.0,Mid-level
Mid-level Schools,Adelphi University, PhD ,3.675,161.0,156.75,4.75,727.5,Mid-level
Mid-level Schools,Kean University, Other ,3.6725,158.0,155.5,5.125,645.0,Mid-level
Mid-level Schools,Loyola University Chicago, PhD ,3.6666666666666665,158.33333333333334,156.0,4.666666666666667,770.0,Mid-level
Mid-level Schools,University Of Virginia, PhD ,3.662,159.2,157.8,4.9,690.0,Mid-level
Mid-level Schools,Widener University, Other ,3.6566666666666663,159.66666666666666,156.66666666666666,4.833333333333333,660.0,Mid-level
Mid-level Schools,University Of Iowa, PhD ,3.65625,216.6,213.3,4.25,670.0,Mid-level
Mid-level Schools,LIU Brooklyn, PhD ,3.6519999999999997,165.6,161.4,4.8,752.0,Mid-level
Mid-level Schools,Fordham University, PhD ,3.647777777777778,243.55555555555554,281.44444444444446,4.0,740.0,Mid-level
Mid-level Schools,University Of Denver, Other ,3.64375,231.0,210.375,4.6875,695.0,Mid-level
Mid-level Schools,"University Of Illinois, Urbana Champaign (UIUC)", PhD ,3.64,726.6666666666666,773.3333333333334,5.166666666666667,740.0,Mid-level
Mid-level Schools,University Of British Columbia, Masters ,3.64,270.0,248.5,4.666666666666667,820.0,Mid-level
Mid-level Schools,Syracuse University, PhD ,3.635,158.0,155.0,4.0,680.0,Mid-level
